# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        5.676     8203.523
       1.014       19.700      120.918     8203.523
       2.029       22.700      271.480     8203.523
       3.041       20.700      411.215     8203.523
       4.057       18.700      551.465     8203.523
       5.074       18.600      697.902     8203.523
       6.093       16.600      822.168     8203.523
       7.115       14.700      938.699     8203.523
       8.139       17.600     1077.145     8203.523
       9.163       19.500     1221.262     8203.523
      10.186       18.600     1365.637     8203.523
      11.210       17.600     1508.980     8203.523
      12.233       18.600     1657.996     8203.523
      13.257       17.600     1789.223     8203.523
      14.280       17.600     1930.246     8203.523
      15.304       19.500     2077.973     8203.523
      16.327       18.600     2227.762     8203.523
      17.351       19.500     2368.785     8203.523
      18.375       17.600     2505.684     8203.523
      19.398       16.600     2639.230     8203.523
      20.422       16.600     2776.387     8203.523
      21.446       17.600     2916.637     8203.523
      22.469       15.600     3041.934     8203.523
      23.493       18.600     3192.238     8203.523
      24.516       16.600     3336.613     8203.523
      25.540       17.600     3471.707     8203.523
      26.564       20.500     3603.707     8203.523
      27.587       22.500     3736.223     8203.523
      28.611       15.600     3842.441     8203.523
      29.635       17.600     3992.488     8203.523
      30.658       24.400     4141.762     8203.523
      31.682     1375.500     4359.609     8771.582
      32.706     1599.500     4494.961     8771.582
      33.730     1591.500     4773.270     8771.582
      34.754     1004.900     5596.617     8835.582
      35.778      439.600     6020.312     8835.582
      36.802      372.100     6402.871     8835.582
      37.826      275.500     6604.723     8835.582
      38.850      216.800     6780.270     8835.582
      39.874      229.500     6915.199     8835.582
      40.897      216.900     7086.000     8835.582
      41.921      223.700     7214.887     8835.582
      42.945      242.300     7409.859     8835.582
      43.968      221.800     7547.516     8835.582
      44.992      183.600     7663.461     8835.582
      46.016      207.100     7778.184     8835.582
      47.039      169.000     7871.277     8835.582
      48.063      218.700     8023.938     8835.582
      49.087      175.800     8118.859     8835.582
      50.111      131.900     8186.316     8835.582
      51.135       35.200     8196.297     8747.539
      52.159        3.900     8196.297     8747.539
      53.182        9.800     8196.297     8747.539
      54.206        7.800     8196.297     8747.539
      55.372       12.000     8196.297     8747.539
      56.396        5.900     8196.297     8747.539
      57.420        7.800     8196.297     8747.539
      58.443        3.900     8196.297     8747.539
      59.467        6.800     8196.297     8747.539
      60.709       11.300     8196.297     8747.539
      61.733        5.900     8196.297     8747.539
      62.756        3.900     8196.297     8747.539
      63.780        0.000     8196.297     8747.539
      64.803        2.900     8196.297     8747.539
      65.868        2.800     8196.297     8747.539
      66.892        0.000     8196.297     8747.539
      67.915        2.900     8196.297     8747.539
      68.939        0.000     8196.297     8747.539
      69.962        6.800     8196.297     8747.539
      70.986        8.800     8196.297     8747.539
      72.009        6.800     8196.297     8747.539
      73.033        5.900     8196.297     8747.539
      74.057        3.900     8196.297     8747.539
      75.081        7.800     8196.297     8747.539
      76.105        6.800     8196.297     8747.539
      77.629        4.600     8196.297     8747.539
      78.653        4.900     8196.297     8747.539
      79.677        4.900     8196.297     8747.539
      80.701        2.900     8196.297     8747.539
      81.725        4.900     8196.297     8747.539
      82.835        6.300     8196.297     8747.539
      83.858        2.900     8196.297     8747.539
      84.882        2.000     8196.297     8747.539
      85.906        2.000     8196.297     8747.539
      86.929        1.000     8196.297     8747.539
      88.133        2.500     8196.297     8747.539
      89.157        2.000     8196.297     8747.539
      90.180        6.800     8196.297     8747.539
      91.204        7.800     8196.297     8747.539
      92.228        6.800     8196.297     8747.539
      93.439        8.300     8196.297     8747.539
      94.463        3.900     8196.297     8747.539
      95.487        3.900     8196.297     8747.539
      96.510        2.900     8196.297     8747.539
      97.534        4.900     8196.297     8747.539
      98.578        7.700     8196.297     8747.539
      99.602        2.900     8196.297     8747.539
     100.626        2.900     8196.297     8747.539
     101.650        2.000     8196.297     8747.539
     102.673        7.800     8196.297     8747.539
     103.697        7.800     8196.297     8747.539
     104.720        3.900     8196.297     8747.539
