Linux 5.15.0-60-generic (ubuntu) 	10/24/23 	_x86_64_	(48 CPU)

15:30:25      UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:30:26     1000     15164      4.00      0.00      0.00       0  mysort
15:30:27     1000     15164      0.00      0.00      0.00       0  mysort
15:30:28     1000     15164      0.00      0.00      0.00       0  mysort
15:30:29     1000     15164      0.00      0.00      0.00       0  mysort
15:30:30     1000     15164  13980.00      0.00      0.00       0  mysort
15:31:13     1000     15164  36952.51      0.00      0.00       0  mysort
15:31:14     1000     15164  15284.00      0.00      0.00       0  mysort
15:31:15     1000     15164  14436.00      0.00      0.00       0  mysort
15:31:16     1000     15164  75048.00      0.00      0.00       0  mysort
15:31:17     1000     15164  51684.00      0.00      0.00       0  mysort
15:31:18     1000     15164  35328.00      0.00      0.00       0  mysort
15:31:45     1000     15164  26694.01  16827.54      0.00       0  mysort
15:31:46     1000     15164   3668.00 453248.00      0.00       0  mysort
15:31:47     1000     15164   3408.00 425620.00      0.00       0  mysort
15:31:48     1000     15164   3224.00 419328.00      0.00       0  mysort
15:31:49     1000     15164   3092.00 205296.00      0.00       0  mysort
15:31:57     1000     15164  62631.94 143626.27      0.00       0  mysort
15:31:58     1000     15164 105884.00 2017416.00      0.00       0  mysort
15:31:59     1000     15164 113152.00 521636.00      0.00       0  mysort
15:32:00     1000     15164  81324.00 221836.00      0.00       0  mysort
15:32:01     1000     15164 103308.00   2920.00      0.00       0  mysort
15:32:15     1000     15164  74403.55    562.60      0.00       0  mysort
15:32:16     1000     15164    488.00    800.00      0.00       0  mysort
15:32:17     1000     15164    532.00    408.00      0.00       0  mysort
15:32:18     1000     15164   6060.00    256.00      0.00       0  mysort
15:32:19     1000     15164 102528.00    320.00      0.00       0  mysort
15:32:39     1000     15164  91688.03    139.29      0.00       0  mysort
15:32:40     1000     15164    772.00    336.00      0.00       0  mysort
15:32:41     1000     15164    520.00    352.00      0.00       0  mysort
15:32:42     1000     15164    356.00    368.00      0.00       0  mysort
15:32:43     1000     15164    264.00    336.00      0.00       0  mysort
15:32:44     1000     15164    172.00    688.00      0.00       0  mysort
15:32:45     1000     15164    184.00    720.00      0.00       0  mysort
15:32:46     1000     15164    296.00   1080.00      0.00       0  mysort
15:32:47     1000     15164    148.00   1256.00      0.00       0  mysort
15:32:48     1000     15164    136.00   2004.00      0.00       0  mysort
15:32:49     1000     15164      0.00   1984.00      0.00       0  mysort
15:32:50     1000     15164      0.00   3728.00      0.00       0  mysort
15:32:51     1000     15164      0.00   4700.00      0.00       0  mysort
15:32:52     1000     15164      0.00   5608.00      0.00       0  mysort
15:32:53     1000     15164      0.00   6936.00      0.00       0  mysort
15:32:54     1000     15164      0.00   8816.00      0.00       0  mysort
15:32:55     1000     15164      0.00   4560.00      0.00       0  mysort
15:33:00     1000     15164      0.00   2909.54      0.00       0  mysort
15:33:01     1000     15164      0.00  14208.00      0.00       0  mysort
15:33:02     1000     15164      0.00  14336.00      0.00       0  mysort
15:33:03     1000     15164      0.00  14336.00      0.00       0  mysort
15:33:04     1000     15164      0.00  14336.00      0.00       0  mysort
15:33:06     1000     15164      0.00   8935.85      0.00       0  mysort
15:33:07     1000     15164      0.00  14080.00      0.00       0  mysort
15:33:08     1000     15164      0.00  14036.00      0.00       0  mysort
15:33:09     1000     15164      0.00  12852.00      0.00       0  mysort
15:33:10     1000     15164      0.00  13444.00      0.00       0  mysort
15:33:12     1000     15164      0.00  15418.36      0.00       0  mysort
15:33:13     1000     15164      0.00  16832.00      0.00       0  mysort
15:33:14     1000     15164 107264.00  16516.00      0.00       0  mysort
15:33:15     1000     15164  54528.00  17024.00      0.00       0  mysort
15:33:16     1000     15164 113408.00  17032.00      0.00       0  mysort
15:33:22     1000     15164  79672.61   3103.63      0.00       0  mysort
15:33:23     1000     15164  59648.00  17024.00      0.00       0  mysort
15:33:24     1000     15164 113024.00  17024.00      0.00       0  mysort
15:33:25     1000     15164  45824.00  17024.00      0.00       0  mysort
15:33:26     1000     15164      0.00  17428.00      0.00       0  mysort
15:33:28     1000     15164      0.00   9803.81      0.00       0  mysort
15:33:29     1000     15164      0.00  20452.00      0.00       0  mysort
15:33:30     1000     15164      0.00  20608.00      0.00       0  mysort
15:33:31     1000     15164      0.00  20608.00      0.00       0  mysort
15:33:32     1000     15164      0.00  21928.00      0.00       0  mysort
15:33:35     1000     15164      0.00  17444.73      0.00       0  mysort
15:33:36     1000     15164      0.00  30080.00      0.00       0  mysort
15:33:37     1000     15164      0.00  36594.06      0.00       0  mysort
15:33:38     1000     15164      0.00  43840.00      0.00       0  mysort
15:33:39     1000     15164      0.00  38728.00      0.00       0  mysort
15:33:41     1000     15164      0.00  32507.76      0.00       0  mysort
15:33:42     1000     15164      0.00  50560.00      0.00       0  mysort
15:33:43     1000     15164      0.00  43360.00      0.00       0  mysort
15:33:44     1000     15164      0.00  43680.00      0.00       0  mysort
15:33:45     1000     15164      0.00  40488.00      0.00       0  mysort
15:33:46     1000     15164      0.00  33892.00      0.00       0  mysort
15:33:47     1000     15164      0.00  61300.00      0.00       0  mysort
15:33:48     1000     15164      0.00  31360.00      0.00       0  mysort
15:33:49     1000     15164      0.00  35888.00      0.00       0  mysort
15:33:50     1000     15164      0.00  50688.00      0.00       0  mysort
15:33:51     1000     15164      0.00  44216.00      0.00       0  mysort
15:33:53     1000     15164      0.00  33061.39      0.00       0  mysort
15:33:54     1000     15164      0.00  46176.00      0.00       0  mysort
15:33:55     1000     15164      0.00  44304.00      0.00       0  mysort
15:33:56     1000     15164      0.00  44616.00      0.00       0  mysort
15:33:57     1000     15164      0.00  44624.00      0.00       0  mysort
15:33:58     1000     15164      0.00  45076.00      0.00       0  mysort
15:33:59     1000     15164      0.00  50668.00      0.00       0  mysort
15:34:00     1000     15164      0.00  52632.00      0.00       0  mysort
15:34:01     1000     15164      0.00  52260.00      0.00       0  mysort
15:34:02     1000     15164      0.00  52648.00      0.00       0  mysort
15:34:03     1000     15164      0.00  45612.00      0.00       0  mysort
15:34:04     1000     15164      0.00  59576.00      0.00       0  mysort
15:34:05     1000     15164      0.00  51284.00      0.00       0  mysort
15:34:06     1000     15164      0.00  51780.00      0.00       0  mysort
15:34:07     1000     15164      0.00  52232.00      0.00       0  mysort
15:34:08     1000     15164      0.00  52688.00      0.00       0  mysort
15:34:09     1000     15164      0.00  47000.00      0.00       0  mysort
15:34:11     1000     15164      0.00  22470.97      0.00       0  mysort
15:34:12     1000     15164      0.00  57856.00      0.00       0  mysort
15:34:13     1000     15164      0.00  58752.00      0.00       0  mysort
15:34:14     1000     15164      0.00  57120.00      0.00       0  mysort
15:34:15     1000     15164      0.00  68472.00      0.00       0  mysort
15:34:16     1000     15164      0.00  69120.00      0.00       0  mysort
15:34:17     1000     15164      0.00  69120.00      0.00       0  mysort
15:34:18     1000     15164      0.00  65280.00      0.00       0  mysort
15:34:19     1000     15164      0.00  66240.00      0.00       0  mysort
15:34:20     1000     15164      0.00  66240.00      0.00       0  mysort
15:34:21     1000     15164      0.00  51896.00      0.00       0  mysort
15:34:22     1000     15164      0.00  77704.00      0.00       0  mysort
15:34:23     1000     15164      0.00  66240.00      0.00       0  mysort
15:34:24     1000     15164      0.00  66240.00      0.00       0  mysort
15:34:25     1000     15164      0.00  66240.00      0.00       0  mysort
15:34:26     1000     15164      0.00  63104.00      0.00       0  mysort
15:34:27     1000     15164      0.00  53332.00      0.00       0  mysort
15:34:28     1000     15164      0.00  73972.00      0.00       0  mysort
15:34:29     1000     15164      0.00  51852.00      0.00       0  mysort
15:34:30     1000     15164      0.00 1666912.00      0.00       0  mysort
15:34:31     1000     15164      0.00 762084.00      0.00       0  mysort
15:34:32     1000     15164      0.00 268912.00      0.00       0  mysort
15:34:33     1000     15164      0.00  40324.00      0.00       0  mysort
15:34:34     1000     15164   4608.00  47316.00      0.00       0  mysort
15:34:35     1000     15164 107520.00  38640.00      0.00       0  mysort
15:34:36     1000     15164  45188.00  38572.00      0.00       0  mysort
15:34:37     1000     15164  11120.00  39192.00      0.00       0  mysort
15:34:38     1000     15164  86400.00  17152.00      0.00       0  mysort
15:34:39     1000     15164 101632.00   5960.00      0.00       0  mysort
15:35:01     1000     15164  42125.68    648.22      0.00       0  mysort
15:35:02     1000     15164  73984.00   8532.00      0.00       0  mysort
15:35:03     1000     15164  32384.00   6060.00      0.00       0  mysort
15:35:04     1000     15164  37632.00   3840.00      0.00       0  mysort
15:35:05     1000     15164  89472.00   3072.00      0.00       0  mysort
15:35:19     1000     15164  32489.24     98.13      0.00       0  mysort
15:35:22     1000     15164      0.00   3539.27      0.00       0  mysort
15:35:24     1000     15164      0.00   1222.05      0.00       0  mysort
15:35:25     1000     15164      0.00   1120.00      0.00       0  mysort
15:35:26     1000     15164      0.00    480.00      0.00       0  mysort
15:35:27     1000     15164      0.00    160.00      0.00       0  mysort
15:35:28     1000     15164      0.00     64.00      0.00       0  mysort
15:35:29     1000     15164      0.00    160.00      0.00       0  mysort
15:35:30     1000     15164      0.00      0.00      0.00       0  mysort
15:35:31     1000     15164      0.00      0.00      0.00       0  mysort
15:35:32     1000     15164      0.00      0.00      0.00       0  mysort
15:35:33     1000     15164      0.00    128.00      0.00       0  mysort
