# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       11.188   144343.754
       1.009       70.100      534.031   144343.754
       2.022       69.100     1055.586   144343.754
       3.034       80.000     1736.469   144343.754
       4.047       67.200     2259.312   144343.754
       5.060       80.000     2941.742   144343.754
       6.072       66.200     3464.328   144343.754
       7.084       68.200     3986.914   144343.754
       8.097       79.000     4670.633   144343.754
       9.109       66.200     5193.219   144343.754
      10.121       67.200     5759.633   144343.754
      11.134       68.200     6282.477   144343.754
      12.146       68.100     6808.414   144343.754
      13.159       78.100     7474.086   144343.754
      14.171       67.200     7996.156   144343.754
      15.184       79.000     8671.367   144343.754
      16.196       67.200     9193.953   144343.754
      17.209       80.000     9860.141   144343.754
      18.221       67.200    10382.727   144343.754
      19.233       73.100    10993.742   144343.754
      20.246       72.100    11570.727   144343.754
      21.258       68.100    12099.758   144343.754
      22.271       78.000    12756.922   144343.754
      23.283       68.200    13277.445   144343.754
      24.295       78.000    13937.961   144343.754
      25.308       69.100    14460.805   144343.754
      26.320       78.000    15119.000   144343.754
      27.333       68.100    15640.555   144343.754
      28.345       76.100    16299.781   144343.754
      29.357       67.200    16822.625   144343.754
      30.370       78.000    17480.562   144343.754
      31.382       69.200    18003.148   144343.754
      32.395       78.000    18658.250   144343.754
      33.407       66.200    19179.031   144343.754
      34.419       75.100    19828.461   144343.754
      35.432      434.100    20221.855   144591.781
      36.445      802.200    20298.168   144591.781
      37.459      799.500    20450.793   144591.781
      38.472      799.200    20450.793   144591.781
      39.485      801.400    20614.504   144591.781
      40.499      799.300    20756.043   144591.781
      41.512      798.100    20756.043   144591.781
      42.526      802.600    20756.043   144591.781
      43.539      798.100    20797.551   144591.781
      44.552      799.100    20980.082   144591.781
      45.566      802.100    21136.574   144591.781
      46.579      799.200    21212.887   144591.781
      47.593      798.300    21364.738   144591.781
      48.606      802.200    21364.738   144591.781
      49.620      798.100    21364.738   144591.781
      50.633      802.100    21364.738   144591.781
      51.647      799.200    21364.738   144591.781
      52.661      798.400    21364.738   144591.781
      53.674      802.100    21373.246   144591.781
      54.687      799.600    21503.441   144591.781
      55.700      799.100    21601.926   144591.781
      56.714      802.100    21669.988   144591.781
      57.728      798.200    21744.238   144591.781
      58.741      802.100    21913.105   144591.781
      59.755      799.300    21975.238   144591.781
      60.768      798.200    21975.238   144591.781
      61.782      802.400    21976.012   144591.781
      62.795      799.100    22126.832   144591.781
      63.808      798.100    22287.965   144591.781
      64.822      802.500    22415.840   144591.781
      65.835      798.100    22566.660   144591.781
      66.849      799.600    22585.738   144591.781
      67.862      801.100    22585.738   144591.781
      68.875      799.100    22585.738   144591.781
      69.889      799.500    22585.738   144591.781
      70.902      801.200    22585.738   144591.781
      71.916      799.500    22596.309   144591.781
      72.929      667.900    23002.363   144591.781
      73.942      518.000    23511.027   144655.781
      74.956      355.400    23814.215   144655.781
      75.969      491.400    24304.574   144655.781
      76.982      390.700    24683.301   144655.781
      77.996      237.900    24849.590   144655.781
      79.009      356.200    25137.566   144655.781
      80.022      236.800    25323.191   144655.781
      81.036      370.200    25657.059   144655.781
      82.049      284.200    25881.871   144655.781
      83.062      250.700    26086.574   144655.781
      84.076      258.500    26327.629   144655.781
      85.089      270.400    26578.223   144655.781
      86.103      302.000    26855.887   144655.781
      87.116      291.200    27091.527   144655.781
      88.129      292.100    27274.059   144655.781
      89.142      274.400    27484.434   144655.781
      90.155      228.900    27649.949   144655.781
      91.169      303.900    27884.816   144655.781
      92.182      221.100    28089.262   144655.781
      93.195      170.700    28187.230   144655.781
      94.209      261.600    28409.465   144655.781
      95.222      238.800    28623.707   144655.781
      96.235      268.500    28871.723   144655.781
      97.249      295.100    29123.863   144655.781
      98.262      248.700    29266.691   144655.781
      99.275      245.700    29424.473   144655.781
     100.289      249.600    29572.199   144655.781
     101.302      208.300    29691.566   144655.781
     102.315      306.900    29941.387   144655.781
     103.329      260.500    30163.879   144655.781
     104.342      284.200    30388.176   144655.781
     105.355      227.000    30564.262   144655.781
     106.368      357.300    30909.473   144655.781
     107.381      109.600    30921.848   144655.781
     108.394      235.900    31089.168   144655.781
     109.408      262.500    31264.738   144655.781
     110.421      277.300    31476.145   144655.781
     111.434      366.200    31785.004   144655.781
     112.447      106.600    31785.004   144655.781
     113.461      258.500    32025.801   144655.781
     114.483      161.500    32103.918   144655.781
     115.496      127.300    32148.777   144655.781
     116.509      228.900    32328.473   144655.781
     117.523      361.300    32689.410   144655.781
     118.535      127.300    32704.879   144655.781
     119.549      197.300    32839.715   144655.781
     120.562      281.300    33092.887   144655.781
     121.575      206.300    33242.160   144655.781
     122.589      280.300    33424.949   144655.781
     123.602      124.600    33453.309   144655.781
     124.613      100.600    33453.309   144655.781
     125.627      142.200    33510.543   144655.781
     126.639       99.700    33510.543   144655.781
     127.653      120.400    33572.676   144655.781
     128.666      206.200    33729.941   144655.781
     129.680       99.700    33729.941   144655.781
     130.693      100.700    33729.941   144655.781
     131.705      103.700    33746.699   144655.781
     132.718      157.000    33909.121   144655.781
     133.731      115.400    33930.262   144655.781
     134.744       99.700    33930.262   144655.781
     135.757      106.600    33998.840   144655.781
     136.770      150.000    34044.473   144655.781
     137.783      103.600    34067.676   144655.781
     138.796      195.800    34130.324   144655.781
     139.807      105.600    34130.324   144655.781
     140.821       99.700    34130.324   144655.781
     141.834      145.100    34215.145   144655.781
     142.847      176.600    34244.793   144655.781
     143.861       99.700    34244.793   144655.781
     144.874       99.700    34244.793   144655.781
     145.887      104.600    34273.410   144655.781
     146.900      151.900    34359.520   144655.781
     147.914       99.700    34359.520   144655.781
     148.927      141.100    34514.207   144655.781
     149.941      105.600    34520.910   144655.781
     150.954      104.600    34561.645   144655.781
     151.967      198.300    34693.129   144655.781
     152.976      100.700    34693.129   144655.781
     153.989      103.600    34714.527   144655.781
     155.002      125.300    34793.160   144655.781
     156.016       99.700    29983.086   144631.770
     157.029      100.100     3200.156   144631.770
     158.038       15.800        4.375      299.535
     159.051        3.000        4.375      299.535
     160.065        3.900        4.375      299.535
     161.078        3.900        4.375      299.535
     162.090        3.000        4.375      299.535
     163.103        3.000        4.375      299.535
     164.116        3.900        4.375      299.535
     165.129        3.000        4.375      299.536
     166.141        4.000        4.375      299.535
