Linux 5.15.0-60-generic (ubuntu) 	10/25/23 	_x86_64_	(48 CPU)

04:01:33      UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:01:34     1000     21439  98048.00      0.00      0.00       0  sort
04:01:35     1000     21439  98976.00      0.00      0.00       0  sort
04:01:36     1000     21439  98900.00      0.00      0.00       0  sort
04:01:37     1000     21439 106372.00      0.00      0.00       0  sort
04:01:38     1000     21439 106496.00      0.00      0.00       0  sort
04:01:39     1000     21439  98560.00      0.00      0.00       0  sort
04:01:40     1000     21439  99328.00      0.00      0.00       0  sort
04:01:41     1000     21439  97280.00      0.00      0.00       0  sort
04:01:42     1000     21439 105472.00      0.00      0.00       0  sort
04:01:43     1000     21439 109568.00      0.00      0.00       0  sort
04:01:44     1000     21439 109312.00      0.00      0.00       0  sort
04:01:45     1000     21439 106240.00      0.00      0.00       0  sort
04:01:46     1000     21439  96512.00      0.00      0.00       0  sort
04:01:47     1000     21439 100096.00      0.00      0.00       0  sort
04:01:48     1000     21439 107008.00      0.00      0.00       0  sort
04:01:49     1000     21439 103680.00      0.00      0.00       0  sort
04:01:50     1000     21439  88832.00      0.00      0.00       0  sort
04:01:51     1000     21439 106240.00      0.00      0.00       0  sort
04:01:52     1000     21439 102400.00      0.00      0.00       0  sort
04:01:53     1000     21439 102400.00      0.00      0.00       0  sort
04:01:54     1000     21439  95132.00      0.00      0.00       0  sort
04:01:55     1000     21439 104284.00      0.00      0.00       0  sort
04:01:56     1000     21439  91720.00      0.00      0.00       0  sort
04:01:57     1000     21439  95676.00      0.00      0.00       0  sort
04:01:58     1000     21439 103764.00      0.00      0.00       0  sort
04:01:59     1000     21439  91184.00      0.00      0.00       0  sort
04:02:00     1000     21439  46556.00      0.00      0.00       0  sort
04:02:01     1000     21439  71424.00      0.00      0.00       0  sort
04:02:02     1000     21439      0.00      0.00      0.00       0  sort
04:02:03     1000     21439      0.00      0.00      0.00       0  sort
04:02:04     1000     21439      0.00  18852.00      0.00       0  sort
